manufacturer,tray_model,vehicle_make,vehicle_model,cab_type,length_mm,width_mm,height_mm,dimension_basis,dimension_basis_quote,source_id,source_manufacturer,source_title,source_url,source_accessed_date,source_locator,verification_status,notes
Norweld,Elite Tray,Isuzu,D-Max,dual,1826,1850,,outside,"Outside dimensions, measured from the front of the headboard to the back of the tray.",norweld-elite-tray-specs,Norweld,Norweld Elite Tray technical specifications,https://norweld.com.au/wp-content/uploads/NorweldEliteTray-Spreads-V1.pdf,2026-09-04,Vehicle model table,source_verified,
Norweld,Elite Tray,Isuzu,D-Max,single,2526,1850,,outside,"Outside dimensions, measured from the front of the headboard to the back of the tray.",norweld-elite-tray-specs,Norweld,Norweld Elite Tray technical specifications,https://norweld.com.au/wp-content/uploads/NorweldEliteTray-Spreads-V1.pdf,2026-09-04,Vehicle model table,source_verified,
MITS Alloy,EVO2,,,dual,1765,1870,850,outside,"Tray dimensions are standardised to suit the canopy range rather than sized per vehicle.",mits-alloy-trays,MITS Alloy,MITS Alloy tray range,https://mitsalloy.com.au/trays/,2026-09-04,EVO2 range table,source_verified,Fits Hilux Ranger D-Max BT-50 Triton Navara 79 Series
